CategoryID,FVF Rate,,
20081,10,Antiques,
550,10,Art,
2984,10,Baby,
267,9,Books,
12576,11,Business,
625,8,Cameras & Photography,
78997,5,Lenses & Filters,MAX  ?10
11724,5,Camcorders,MAX  ?10
31388,5,Digital Cameras,MAX  ?10
11450,11,"Clothes, Shoes & Accessories",
11116,10,Coins,
1,9,Collectables,
58058,8,"Computers, Tablets & Networking",
171957,5,Desktops & All-in-Ones,MAX  ?10
165,5,"Drives, Storage & Blank Media",MAX  ?10
171485,5,iPads/Tablets & eBook Readers,MAX  ?10
175672,5,Laptops & Netbooks,MAX  ?10
171961,5,"Printers, Scanners & Suppliers",MAX  ?10
18793,5,Software,MAX  ?10
44995,5,Wireless Routers?,MAX  ?10
14339,11,Crafts,
237,11,Dolls & Bears,
11232,9,DVDs,
26395,10,Health & Beauty,
11700,11,Home,
281,11,Jewellery & Watches,
15032,8,Cell Phones & Accessories,
9394,5,Cell Phone Accessories,MAX  ?10
9355,5,Cell Phones & Smartphones,MAX  ?10
11233,9,Music,
619,10,Musical Instruments,
1281,10,Pet Supplies,
870,11,"Pottery, Porcelain & Glass",
293,8,Consumer Electronics,
32852,5,"TV, Video & Home Audio",MAX  ?10
888,10,Sporting Goods,MAX  ?50
64482,10,"Sports Mem, Cards & Fan Shop",
260,10,Stamps,
220,10,Toys & Games,
1249,9,Video Games & Consoles,
99,11,Everything Else,
